"","age","median_RT","mean_RT","num_correct_trials","perc_accuracy","verbal_span_mean","mean_blocks","medium_mult_RT","mean_mult_RT","perc_accuracy_mult"
"age",1,0.100550101274399,0.0852936451929204,0.0797448289926587,0.0797448289926587,-0.100382018988598,-0.063628119375569,0.0269851777937824,-0.000853311266347394,0.0256846892404671
"median_RT",0.100550101274399,1,0.963604351570133,-0.0145274502942636,-0.0145274502942636,-0.199762863315672,-0.309413759494788,0.650235915299353,0.561796276077189,-0.145928407839701
"mean_RT",0.0852936451929204,0.963604351570133,1,-0.048143657331296,-0.048143657331296,-0.14942963129122,-0.28123630499368,0.634047918066143,0.545575708013279,-0.137630514754099
"num_correct_trials",0.0797448289926587,-0.0145274502942636,-0.048143657331296,1,1,-0.0842534003303575,-0.0643743491492857,0.0458589203261689,0.0752221146723691,0.140742166364214
"perc_accuracy",0.0797448289926587,-0.0145274502942636,-0.048143657331296,1,1,-0.0842534003303575,-0.0643743491492857,0.0458589203261689,0.0752221146723691,0.140742166364214
"verbal_span_mean",-0.100382018988598,-0.199762863315672,-0.14942963129122,-0.0842534003303575,-0.0842534003303575,1,0.215334273126123,-0.280898309482363,-0.263683090638374,0.198637545085399
"mean_blocks",-0.063628119375569,-0.309413759494788,-0.28123630499368,-0.0643743491492857,-0.0643743491492857,0.215334273126123,1,-0.293598324233379,-0.288870071024201,0.200058418974241
"medium_mult_RT",0.0269851777937824,0.650235915299353,0.634047918066143,0.0458589203261689,0.0458589203261689,-0.280898309482363,-0.293598324233379,1,0.933241819757197,-0.402955345826071
"mean_mult_RT",-0.000853311266347394,0.561796276077189,0.545575708013279,0.0752221146723691,0.0752221146723691,-0.263683090638374,-0.288870071024201,0.933241819757197,1,-0.401336186487542
"perc_accuracy_mult",0.0256846892404671,-0.145928407839701,-0.137630514754099,0.140742166364214,0.140742166364214,0.198637545085399,0.200058418974241,-0.402955345826071,-0.401336186487542,1
