"","age","median_RT","mean_RT","num_correct_trials","perc_accuracy","verbal_span_mean","mean_blocks","medium_mult_RT","mean_mult_RT","perc_accuracy_mult"
"age",NA,0.0370470771382672,0.0474969563821839,0.0465357784696909,0.0465357784696243,0.0194050766445839,0.251228817544278,0.203079804695392,0.0985943311755078,0.835655703741791
"median_RT",0.0370470771382672,NA,0,0.109339572347341,0.109339572347751,0.00166600283321117,1.77188193095645e-06,0,1.33226762955019e-15,0.00343593232033079
"mean_RT",0.0474969563821839,0,NA,0.0106420716909474,0.0106420716909614,0.0089195359613714,1.70108133428215e-05,0,3.5083047578155e-14,0.00199029657834693
"num_correct_trials",0.0465357784696909,0.109339572347341,0.0106420716909474,NA,0,0.228492405485686,0.627873696436196,0.292750314824396,0.117626498329454,0.0761251584141172
"perc_accuracy",0.0465357784696243,0.109339572347751,0.0106420716909614,0,NA,0.228492405485492,0.627873696435848,0.292750314824466,0.11762649832974,0.0761251584141172
"verbal_span_mean",0.0194050766445839,0.00166600283321117,0.0089195359613714,0.228492405485686,0.228492405485492,NA,0.00145678219317391,5.52550506371929e-06,6.67096082018759e-06,0.00053212083740739
"mean_blocks",0.251228817544278,1.77188193095645e-06,1.70108133428215e-05,0.627873696436196,0.627873696435848,0.00145678219317391,NA,3.27724595194923e-06,1.21924422973319e-05,0.00272621315095911
"medium_mult_RT",0.203079804695392,0,0,0.292750314824396,0.292750314824466,5.52550506371929e-06,3.27724595194923e-06,NA,0,6.29184414790984e-07
"mean_mult_RT",0.0985943311755078,1.33226762955019e-15,3.5083047578155e-14,0.117626498329454,0.11762649832974,6.67096082018759e-06,1.21924422973319e-05,0,NA,1.20063519126745e-08
"perc_accuracy_mult",0.835655703741791,0.00343593232033079,0.00199029657834693,0.0761251584141172,0.0761251584141172,0.00053212083740739,0.00272621315095911,6.29184414790984e-07,1.20063519126745e-08,NA
