typedAnswer,multiplyRT,multiplyCorr,problem,OperandType,productType,participant,group,mean_blocks,max_digitspan,digitspan_type,median_RT,num_correct_trials,interference_score
20,2.28186,1,4 x 5 =,smallFirst,smallProd,1000,ABC,8.666666666666666,7,WAIS,1.41564,25,8
24,1.88194,1,3 x 8 =,smallFirst,smallProd,1000,ABC,8.666666666666666,7,WAIS,1.41564,25,13
72,4.463605,1,8 x 9 =,smallFirst,largeProd,1000,ABC,8.666666666666666,7,WAIS,1.41564,25,19
42,5.446575,0,6 x 8 =,smallFirst,largeProd,1000,ABC,8.666666666666666,7,WAIS,1.41564,25,11
30,1.74875,1,6 x 5 =,largeFirst,largeProd,1000,ABC,8.666666666666666,7,WAIS,1.41564,25,6
40,2.33183,1,5 x 8 =,smallFirst,largeProd,1000,ABC,8.666666666666666,7,WAIS,1.41564,25,9
42,2.098575,1,7 x 6 =,largeFirst,largeProd,1000,ABC,8.666666666666666,7,WAIS,1.41564,25,22
8,2.015125,1,2 x 4 =,smallFirst,smallProd,1000,ABC,8.666666666666666,7,WAIS,1.41564,25,1
45,1.86548,1,9 x 5 =,largeFirst,largeProd,1000,ABC,8.666666666666666,7,WAIS,1.41564,25,6
36,3.14813,1,4 x 9 =,smallFirst,largeProd,1000,ABC,8.666666666666666,7,WAIS,1.41564,25,9
54,8.61199,1,6 x 9 =,smallFirst,largeProd,1000,ABC,8.666666666666666,7,WAIS,1.41564,25,13
9,1.448605,1,3 x 3 =,tie,smallProd,1000,ABC,8.666666666666666,7,WAIS,1.41564,25,0
18,1.68177,1,2 x 9 =,smallFirst,smallProd,1000,ABC,8.666666666666666,7,WAIS,1.41564,25,7
27,1.81532,0,3 x 7 =,smallFirst,smallProd,1000,ABC,8.666666666666666,7,WAIS,1.41564,25,13
49,2.14846,1,7 x 7 =,tie,largeProd,1000,ABC,8.666666666666666,7,WAIS,1.41564,25,7
12,2.998235,1,2 x 6 =,smallFirst,smallProd,1000,ABC,8.666666666666666,7,WAIS,1.41564,25,3
32,2.398155,0,4 x 7 =,smallFirst,largeProd,1000,ABC,8.666666666666666,7,WAIS,1.41564,25,17
18,3.29794,1,6 x 3 =,largeFirst,smallProd,1000,ABC,8.666666666666666,7,WAIS,1.41564,25,8
