participant,median_RT,mean_RT,num_correct_trials,perc_accuracy,verbal_span_wais,verbal_span_egner,verbal_span_mean,mean_blocks,max_vpt_span,n,mean_mult_RT,medium_mult_RT,perc_accuracy_mult
1000,1.41564,1.4653824,25,89.28571428571429,7,7,7,8.666666666666666,9,53,2.8392211320754717,2.215385,88.33333333333333
500,1.2597999999999998,1.4886642857142858,28,100,5,5,5,7.333333333333333,7,46,4.209804347826087,3.40295,76.66666666666667
651,1.19185,1.2882142857142858,27,96.42857142857144,6,6,6,10.333333333333334,9,58,1.711256896551724,1.62465,96.66666666666669
652,1.34975,1.4084214285714285,28,100,5,6,5.5,10.333333333333334,9,56,1.927405357142857,1.8246,93.33333333333331
653,1.3331,1.4210357142857144,28,100,3,4,3.5,9,9,57,1.8857035087719296,1.7664,95
656,1.25745,1.2936857142857143,28,100,9,9,9,10,9,57,2.4547368421052633,1.8599,95
657,1.2577,1.325632142857143,27,96.42857142857144,4,5,4.5,9.333333333333334,9,54,1.962061111111111,1.9148,90
658,1.23285,1.2715392857142858,26,92.85714285714286,5,6,5.5,9.333333333333334,9,56,1.9878321428571428,1.7991,93.33333333333331
659,1.4604,1.4675285714285715,27,96.42857142857144,9,9,9,4.333333333333333,4,52,3.485934615384615,2.4030500000000004,86.66666666666667
660,1.2572,1.3287857142857142,27,96.42857142857144,6,5,5.5,9.333333333333334,9,56,2.0752446428571427,1.88275,93.33333333333331
667,1.45885,1.5308964285714286,28,100,6,6,6,9.333333333333334,9,53,3.097241509433962,2.231,88.33333333333333
668,1.52325,1.6450035714285711,28,100,8,7,7.5,6,6,50,2.707494,2.0062,83.33333333333334
672,1.1338,1.1482178571428572,27,96.42857142857144,6,8,7,10.333333333333334,9,46,2.0107,1.85535,76.66666666666667
674,1.26655,1.3038928571428572,28,100,9,9,9,9.666666666666666,9,56,1.7485392857142856,1.608,93.33333333333331
675,1.423,1.4462285714285714,27,96.42857142857144,6,8,7,9.666666666666666,9,57,2.1388684210526314,1.912,95
676,1.3810500000000001,1.3736357142857143,28,100,5,4,4.5,8.333333333333334,8,57,2.384354385964912,1.966,95
677,1.10735,1.117157142857143,28,100,9,8,8.5,10.666666666666666,9,58,1.1711,1.09095,96.66666666666669
680,1.133,1.1946428571428571,28,100,7,7,7,7,7,57,2.137561403508772,2.017,95
681,1.19855,1.248017857142857,28,100,7,7,7,7.333333333333333,7,56,1.8675285714285712,1.5812,93.33333333333331
682,1.3491,1.4598285714285717,27,96.42857142857144,9,9,9,7.666666666666667,8,55,2.6799254545454545,2.2488,91.66666666666666
683,1.0660500000000002,1.1231607142857143,28,100,8,9,8.5,9.333333333333334,9,59,1.5130050847457628,1.4492,98.33333333333331
684,1.2158,1.2745785714285711,28,100,7,7,7,10.666666666666666,9,56,2.6808089285714285,2.04105,93.33333333333331
686,0.94195,1.0080107142857142,28,100,7,8,7.5,11.666666666666666,9,59,1.4273372881355932,1.3158,98.33333333333331
687,1.06545,1.102575,28,100,8,9,8.5,10.333333333333334,9,59,1.6401728813559322,1.5011,98.33333333333331
689,1.2821,1.3130107142857144,27,96.42857142857144,9,9,9,8,8,60,1.6344716666666668,1.4765,100
690,1.1990500000000002,1.3360357142857142,28,100,9,9,9,9.666666666666666,9,59,1.5086745762711864,1.3498000000000001,98.33333333333331
692,1.4186,1.4770892857142857,27,96.42857142857144,7,9,8,9.333333333333334,9,59,2.2783389830508476,1.9363,98.33333333333331
694,1.41555,1.398367857142857,28,100,6,7,6.5,8.333333333333334,8,59,2.054506779661017,1.8487,98.33333333333331
695,1.2813,1.2886035714285715,28,100,6,7,6.5,9.333333333333334,9,58,2.221755172413793,1.9609,96.66666666666669
696,1.25785,1.387517857142857,27,96.42857142857144,7,6,6.5,12.333333333333334,9,60,2.033565,1.8228,100
697,1.1,1.2296,28,100,6,7,6.5,10.333333333333334,9,52,1.8863980769230768,1.7747000000000002,86.66666666666667
698,1.3224,1.3599928571428572,28,100,6,6,6,9.333333333333334,9,55,1.8859672727272727,1.6306,91.66666666666666
700,1.6572,1.6880642857142858,28,100,6,6,6,7.333333333333333,7,46,3.820821739130434,3.3109,76.66666666666667
702,1.31575,1.361967857142857,28,100,9,9,9,10.333333333333334,9,55,2.221341818181818,1.9821,91.66666666666666
704,1.19185,1.2240142857142855,28,100,9,7,8,9.666666666666666,9,58,2.0398672413793104,1.78335,96.66666666666669
705,1.14115,1.1833642857142856,28,100,9,8,8.5,9.333333333333334,9,60,1.64754,1.4329,100
706,1.5163,1.5117444444444443,26,92.85714285714286,9,8,8.5,9.333333333333334,9,57,2.0225982456140352,1.85,95
708,1.3993,1.5971206896551724,28,100,6,5,5.5,8.666666666666666,9,60,1.8755066666666669,1.75855,100
712,1.07465,1.0683214285714286,28,100,7,9,8,9,9,58,1.4510896551724135,1.3086,96.66666666666669
713,1.1828500000000002,1.2381714285714285,28,100,3,7,5,7.666666666666667,8,52,2.380580769230769,1.67505,86.66666666666667
714,0.9545,1.0804285714285715,27,96.42857142857144,6,9,7.5,10.333333333333334,9,59,1.3366610169491526,1.249,98.33333333333331
715,0.95875,0.992175,27,96.42857142857144,9,9,9,12.666666666666666,9,60,1.3430283333333333,1.2342,100
717,1.2998500000000002,1.3416107142857143,28,100,4,4,4,7.333333333333333,7,55,5.015109090909091,4.6996,91.66666666666666
719,1.28965,1.2875035714285714,28,100,7,5,6,8.333333333333334,8,59,1.691950847457627,1.5325,98.33333333333331
721,1.244,1.3827142857142858,28,100,6,7,6.5,9.333333333333334,9,59,2.2041186440677967,1.951,98.33333333333331
723,1.58135,1.5731107142857144,28,100,6,6,6,4.333333333333333,4,58,2.913243103448276,2.0725,96.66666666666669
724,1.3413,1.3901607142857142,28,100,5,6,5.5,10.333333333333334,9,60,1.6638866666666667,1.45,100
725,1.5999,1.6562607142857142,28,100,9,7,8,7.333333333333333,7,58,3.851477586206896,4.1148,96.66666666666669
726,1.4239,1.563825,28,100,6,5,5.5,10.333333333333334,9,59,2.168718644067797,1.8839,98.33333333333331
727,1.639,1.7721071428571429,28,100,6,6,6,6.666666666666667,7,55,5.009036363636364,5.308,91.66666666666666
730,1.2566,1.2917892857142856,28,100,9,7,8,8,8,58,2.540768965517241,2.0433,96.66666666666669
732,1.37375,1.3817357142857143,28,100,4,5,4.5,7.333333333333333,7,53,1.6266792452830188,1.4654,88.33333333333333
733,1.2246,1.2844392857142857,28,100,7,7,7,9.666666666666666,9,56,2.492632142857143,1.7993,93.33333333333331
734,1.10425,1.2026035714285714,28,100,4,4,4,9.333333333333334,9,60,1.67845,1.47065,100
736,1.19955,1.2144714285714286,28,100,8,9,8.5,10,9,59,1.527513559322034,1.3525,98.33333333333331
738,1.0492,1.0745464285714286,28,100,9,9,9,10,9,60,1.542555,1.39045,100
739,1.2674,1.2983321428571428,28,100,7,7,7,9.666666666666666,9,60,2.1087933333333333,1.78265,100
740,1.1296,1.1474714285714285,28,100,7,8,7.5,9.666666666666666,9,58,1.8592275862068963,1.5377,96.66666666666669
741,1.4581,1.4946214285714283,28,100,9,9,9,9.333333333333334,9,58,2.478363793103448,2.03205,96.66666666666669
742,1.14345,1.2075142857142858,28,100,9,9,9,9.333333333333334,9,56,1.7831607142857142,1.58385,93.33333333333331
743,1.0999,1.1375821428571429,28,100,8,9,8.5,7.333333333333333,7,60,1.339751666666667,1.24235,100
745,1.6405,1.7493214285714287,28,100,6,8,7,7.333333333333333,7,55,3.1310872727272727,2.2187,91.66666666666666
746,1.3744,1.4547892857142857,28,100,5,6,5.5,9.333333333333334,9,52,2.606198076923077,2.066,86.66666666666667
747,1.12365,1.1695214285714286,28,100,9,5,7,9.333333333333334,9,59,1.740350847457627,1.4359,98.33333333333331
748,1.4983499999999998,1.6364714285714286,28,100,9,9,9,11.333333333333334,9,58,3.0876879310344827,2.5554,96.66666666666669
