participant,max_span,digitspan_type
1000,7,Egner
500,5,Egner
651,6,Egner
652,6,Egner
653,4,Egner
656,9,Egner
657,5,Egner
658,6,Egner
659,9,Egner
660,5,Egner
667,6,Egner
668,7,Egner
672,8,Egner
674,9,Egner
675,8,Egner
676,4,Egner
677,8,Egner
680,7,Egner
681,7,Egner
682,9,Egner
683,9,Egner
684,7,Egner
686,8,Egner
687,9,Egner
689,9,Egner
690,9,Egner
692,9,Egner
694,7,Egner
695,7,Egner
696,6,Egner
697,7,Egner
698,6,Egner
700,6,Egner
702,9,Egner
704,7,Egner
705,8,Egner
706,8,Egner
708,5,Egner
712,9,Egner
713,7,Egner
714,9,Egner
715,9,Egner
717,4,Egner
719,5,Egner
721,7,Egner
723,6,Egner
724,6,Egner
725,7,Egner
726,5,Egner
727,6,Egner
730,7,Egner
732,5,Egner
733,7,Egner
734,4,Egner
736,9,Egner
738,9,Egner
739,7,Egner
740,8,Egner
741,9,Egner
742,9,Egner
743,9,Egner
745,8,Egner
746,6,Egner
747,5,Egner
748,9,Egner
750,6,Egner
751,9,Egner
752,7,Egner
753,9,Egner
754,8,Egner
755,7,Egner
756,9,Egner
758,7,Egner
759,9,Egner
760,7,Egner
761,7,Egner
762,9,Egner
763,9,Egner
764,8,Egner
765,7,Egner
767,6,Egner
769,7,Egner
770,8,Egner
771,8,Egner
772,8,Egner
773,7,Egner
775,8,Egner
776,9,Egner
777,7,Egner
778,3,Egner
779,8,Egner
782,7,Egner
783,9,Egner
784,9,Egner
786,9,Egner
789,9,Egner
790,9,Egner
792,7,Egner
793,9,Egner
794,9,Egner
795,9,Egner
796,9,Egner
797,8,Egner
800,7,Egner
801,8,Egner
802,8,Egner
803,9,Egner
804,9,Egner
805,7,Egner
806,6,Egner
808,8,Egner
810,5,Egner
811,6,Egner
812,6,Egner
813,7,Egner
814,6,Egner
815,5,Egner
816,9,Egner
817,6,Egner
818,7,Egner
819,8,Egner
820,8,Egner
823,9,Egner
824,7,Egner
825,6,Egner
827,9,Egner
828,9,Egner
829,7,Egner
830,7,Egner
831,9,Egner
832,9,Egner
833,8,Egner
839,7,Egner
840,7,Egner
841,6,Egner
843,9,Egner
844,8,Egner
846,5,Egner
848,8,Egner
849,8,Egner
850,9,Egner
852,7,Egner
854,7,Egner
855,7,Egner
856,9,Egner
857,6,Egner
859,9,Egner
860,7,Egner
863,8,Egner
865,6,Egner
866,8,Egner
867,7,Egner
868,7,Egner
869,8,Egner
871,5,Egner
872,8,Egner
875,9,Egner
876,7,Egner
877,6,Egner
880,6,Egner
881,6,Egner
882,9,Egner
885,9,Egner
887,8,Egner
888,7,Egner
889,8,Egner
892,9,Egner
895,7,Egner
896,7,Egner
897,8,Egner
901,7,Egner
902,5,Egner
908,8,Egner
914,7,Egner
916,5,Egner
917,6,Egner
918,9,Egner
919,7,Egner
920,5,Egner
922,9,Egner
925,6,Egner
927,7,Egner
928,6,Egner
929,7,Egner
930,9,Egner
931,8,Egner
932,8,Egner
936,7,Egner
938,8,Egner
940,5,Egner
941,7,Egner
942,8,Egner
943,6,Egner
945,8,Egner
947,9,Egner
948,8,Egner
949,9,Egner
950,8,Egner
951,8,Egner
952,8,Egner
953,7,Egner
954,8,Egner
956,7,Egner
957,8,Egner
959,6,Egner
960,9,Egner
961,8,Egner
963,7,Egner
964,7,Egner
965,8,Egner
968,9,Egner
969,7,Egner
971,8,Egner
974,9,Egner
976,6,Egner
977,6,Egner
980,6,Egner
982,9,Egner
983,8,Egner
984,9,Egner
986,9,Egner
987,5,Egner
988,7,Egner
989,6,Egner
990,7,Egner
991,9,Egner
992,9,Egner
9935,6,Egner
994,7,Egner
995,6,Egner
996,7,Egner
997,9,Egner
998,7,Egner
999,6,Egner
