typedAnswer,multiplyRT,multiplyCorr,problem,OperandType,productType,participant,group
20,2.28186,1,4 x 5 =,smallFirst,smallProd,1000,ABC
24,1.88194,1,3 x 8 =,smallFirst,smallProd,1000,ABC
72,4.463605,1,8 x 9 =,smallFirst,largeProd,1000,ABC
42,5.446575,0,6 x 8 =,smallFirst,largeProd,1000,ABC
30,1.74875,1,6 x 5 =,largeFirst,largeProd,1000,ABC
40,2.33183,1,5 x 8 =,smallFirst,largeProd,1000,ABC
42,2.098575,1,7 x 6 =,largeFirst,largeProd,1000,ABC
8,2.015125,1,2 x 4 =,smallFirst,smallProd,1000,ABC
45,1.86548,1,9 x 5 =,largeFirst,largeProd,1000,ABC
36,3.14813,1,4 x 9 =,smallFirst,largeProd,1000,ABC
54,8.61199,1,6 x 9 =,smallFirst,largeProd,1000,ABC
18,1.68177,1,2 x 9 =,smallFirst,smallProd,1000,ABC
27,1.81532,0,3 x 7 =,smallFirst,smallProd,1000,ABC
12,2.998235,1,2 x 6 =,smallFirst,smallProd,1000,ABC
32,2.398155,0,4 x 7 =,smallFirst,largeProd,1000,ABC
18,3.29794,1,6 x 3 =,largeFirst,smallProd,1000,ABC
27,1.98205,1,9 x 3 =,largeFirst,largeProd,1000,ABC
15,1.64851,1,3 x 5 =,smallFirst,smallProd,1000,ABC
14,1.49864,1,7 x 2 =,largeFirst,smallProd,1000,ABC
10,1.599215,1,5 x 2 =,largeFirst,smallProd,1000,ABC
52,9.594465,0,7 x 8 =,smallFirst,largeProd,1000,ABC
24,2.315455,1,6 x 4 =,largeFirst,smallProd,1000,ABC
32,4.73014,1,8 x 4 =,largeFirst,largeProd,1000,ABC
63,4.18042,1,9 x 7 =,largeFirst,largeProd,1000,ABC
6,2.148025,1,3 x 2 =,largeFirst,smallProd,1000,ABC
35,2.723265,1,7 x 5 =,largeFirst,largeProd,1000,ABC
12,4.214155,1,4 x 3 =,largeFirst,smallProd,1000,ABC
16,1.540185,1,8 x 2 =,largeFirst,smallProd,1000,ABC
45,2.69814,1,5 x 9 =,smallFirst,largeProd,1000,ABC
28,3.581345,1,7 x 4 =,largeFirst,largeProd,1000,ABC
24,1.982225,1,4 x 6 =,smallFirst,smallProd,1000,ABC
21,6.67969,1,7 x 3 =,largeFirst,smallProd,1000,ABC
27,4.322365,1,3 x 9 =,smallFirst,largeProd,1000,ABC
20,2.41541,1,5 x 4 =,largeFirst,smallProd,1000,ABC
54,6.83722,0,8 x 7 =,largeFirst,largeProd,1000,ABC
35,4.147455,1,5 x 7 =,smallFirst,largeProd,1000,ABC
12,2.148685,1,3 x 4 =,smallFirst,smallProd,1000,ABC
36,4.430495,1,9 x 4 =,largeFirst,largeProd,1000,ABC
12,1.332365,1,6 x 2 =,largeFirst,smallProd,1000,ABC
18,2.248735,1,9 x 2 =,largeFirst,smallProd,1000,ABC
6,1.598935,1,2 x 3 =,smallFirst,smallProd,1000,ABC
8,1.398865,1,4 x 2 =,largeFirst,smallProd,1000,ABC
10,1.699155,1,2 x 5 =,smallFirst,smallProd,1000,ABC
24,5.6962,1,8 x 3 =,largeFirst,smallProd,1000,ABC
30,2.06509,1,5 x 6 =,smallFirst,largeProd,1000,ABC
36,3.581265,0,4 x 8 =,smallFirst,largeProd,1000,ABC
14,3.21514,1,2 x 7 =,smallFirst,smallProd,1000,ABC
18,2.215385,1,3 x 6 =,smallFirst,smallProd,1000,ABC
16,1.982105,1,2 x 8 =,smallFirst,smallProd,1000,ABC
40,2.23224,1,8 x 5 =,largeFirst,largeProd,1000,ABC
72,10.360665,1,9 x 8 =,largeFirst,largeProd,1000,ABC
48,3.231765,1,8 x 6 =,largeFirst,largeProd,1000,ABC
42,2.04865,1,6 x 7 =,smallFirst,largeProd,1000,ABC
54,3.914005,1,9 x 6 =,largeFirst,largeProd,1000,ABC
15,1.598465,1,5 x 3 =,largeFirst,smallProd,1000,ABC
63,7.1461,1,7 x 9 =,smallFirst,largeProd,1000,ABC
18,11.6461,1,6 x 3 =,largeFirst,smallProd,500,CAB
