participant,n,mean_mult_RT,medium_mult_RT,perc_accuracy_mult
1000,50,3.0678993,2.2652975,83.33333333333334
500,52,6.193498076923077,3.9042,86.66666666666667
651,54,1.7220111111111112,1.62465,90
652,52,1.9439596153846155,1.8417,86.66666666666667
653,53,1.9142113207547171,1.8329,88.33333333333333
656,54,2.5027925925925927,1.8711000000000002,90
657,50,1.956066,1.9148,83.33333333333334
658,52,2.011325,1.8160500000000002,86.66666666666667
659,51,4.089566666666666,2.5696,85
660,53,2.288622641509434,1.8994,88.33333333333333
667,51,4.001617647058823,2.2321,85
668,48,2.7478291666666665,2.05595,80
672,43,1.9434511627906976,1.8067,71.66666666666667
674,53,1.7374679245283018,1.5997,88.33333333333333
675,53,2.0902622641509434,1.9136,88.33333333333333
676,53,2.4062943396226415,1.966,88.33333333333333
677,54,1.1661944444444445,1.0826500000000001,90
680,53,2.1604716981132075,2.017,88.33333333333333
681,52,1.8456903846153847,1.5812,86.66666666666667
682,54,2.901724074074074,2.2654,90
683,55,1.5131,1.4327,91.66666666666666
684,54,3.023025925925926,2.0563,90
685,55,2.0465763636363636,1.7499,91.66666666666666
686,55,1.431470909090909,1.3158,91.66666666666666
687,55,1.6504545454545454,1.5011,91.66666666666666
689,56,1.6449678571428572,1.4765000000000001,93.33333333333333
690,55,1.5096509090909092,1.3821,91.66666666666666
692,55,2.2804290909090907,1.9363,91.66666666666666
694,55,2.060918181818182,1.8487,91.66666666666666
695,55,2.621472727272727,1.9681,91.66666666666666
696,56,2.0538660714285712,1.8390499999999999,93.33333333333333
697,49,1.8937448979591835,1.7661,81.66666666666667
698,52,1.9015096153846154,1.61565,86.66666666666667
700,54,6.685287037037037,3.83915,90
702,51,2.230313725490196,1.9821,85
704,54,2.06157962962963,1.78335,90
705,56,1.6501857142857144,1.42495,93.33333333333333
706,53,2.0270396226415093,1.8834,88.33333333333333
708,56,1.814905357142857,1.7436,93.33333333333333
712,55,1.4666036363636363,1.3171,91.66666666666666
713,50,2.57883,1.6750500000000001,83.33333333333334
714,55,1.3014545454545454,1.235,91.66666666666666
715,56,1.3446625,1.2342,93.33333333333333
717,55,5.63538,4.7497,91.66666666666666
719,56,1.8216857142857144,1.5327,93.33333333333333
721,55,2.2262545454545455,1.951,91.66666666666666
723,55,3.1941218181818183,2.0977,91.66666666666666
724,56,1.6634267857142857,1.45,93.33333333333333
725,54,3.794340740740741,4.05605,90
726,55,2.187158181818182,1.8839,91.66666666666666
727,54,5.418240740740741,5.577999999999999,90
730,54,2.5397,2.0433,90
731,54,2.3503148148148147,2.039,90
732,49,1.5946714285714285,1.4654,81.66666666666667
733,52,2.4671346153846154,1.7993000000000001,86.66666666666667
734,56,1.6899946428571428,1.47065,93.33333333333333
736,55,1.5268490909090908,1.352,91.66666666666666
738,56,1.5476874999999999,1.39045,93.33333333333333
739,56,2.1398107142857143,1.7912,93.33333333333333
740,54,1.8415074074074074,1.5377,90
741,56,2.859385714285714,2.0479000000000003,93.33333333333333
742,52,1.7804288461538462,1.58385,86.66666666666667
743,56,1.3301267857142858,1.2333,93.33333333333333
745,52,3.3194346153846155,2.36715,86.66666666666667
746,48,2.6442645833333334,2.066,80
747,55,1.7627745454545454,1.4692,91.66666666666666
748,54,3.0361462962962964,2.5806500000000003,90
749,55,2.692078181818182,2.2499,91.66666666666666
750,54,2.632738888888889,1.96555,90
751,56,1.3227553571428572,1.26745,93.33333333333333
752,56,1.507875,1.4335,93.33333333333333
753,54,2.9002481481481484,2.0497,90
754,50,1.419536,1.3024,83.33333333333334
755,55,1.636490909090909,1.436,91.66666666666666
756,56,1.8065964285714287,1.6993999999999998,93.33333333333333
758,54,1.9658703703703704,1.8649,90
759,53,1.394377358490566,1.3478,88.33333333333333
760,53,1.9352528301886793,1.6326,88.33333333333333
761,52,3.8840346153846155,2.7590500000000002,86.66666666666667
762,55,1.7409181818181818,1.5916,91.66666666666666
763,55,1.7833272727272729,1.517,91.66666666666666
764,56,2.805769642857143,2.5406,93.33333333333333
765,49,2.241587755102041,1.7324,81.66666666666667
767,44,2.240731818181818,1.73125,73.33333333333333
769,51,1.6631176470588236,1.5499,85
770,55,2.0662072727272727,1.6023,91.66666666666666
771,52,3.667130769230769,2.6235,86.66666666666667
772,53,1.1685283018867925,1.054,88.33333333333333
773,50,1.526836,1.409,83.33333333333334
775,53,2.2740962264150943,1.9149,88.33333333333333
776,55,2.3589836363636363,1.8173,91.66666666666666
777,51,2.764588235294118,2.4173,85
778,51,2.1789372549019608,1.7002,85
779,52,2.6401557692307693,1.99925,86.66666666666667
782,56,1.266775,1.1492,93.33333333333333
783,53,3.9876075471698114,3.1494,88.33333333333333
784,56,1.5219464285714286,1.4085,93.33333333333333
786,51,2.272627450980392,1.783,85
789,55,1.651421818181818,1.6166,91.66666666666666
790,54,2.2306092592592592,1.68835,90
792,56,2.0826142857142855,1.8255,93.33333333333333
793,54,1.7391407407407407,1.7159499999999999,90
794,55,1.7306654545454545,1.5438,91.66666666666666
795,56,1.9222857142857144,1.52325,93.33333333333333
796,56,2.0065178571428572,1.4245,93.33333333333333
797,56,1.9518660714285714,1.6670500000000001,93.33333333333333
800,55,2.0077818181818183,1.733,91.66666666666666
801,52,1.6887211538461537,1.6008499999999999,86.66666666666667
802,49,3.1101714285714284,2.548,81.66666666666667
803,48,2.3539770833333336,2.03275,80
804,54,1.4932333333333334,1.37345,90
805,53,3.15291320754717,2.4304,88.33333333333333
806,56,1.7610125,1.5004499999999998,93.33333333333333
808,55,1.7039436363636364,1.5331,91.66666666666666
809,54,2.2626074074074074,1.9651,90
810,49,3.865583673469388,3.2014,81.66666666666667
811,55,2.8200054545454547,2.2329,91.66666666666666
812,56,2.111055357142857,1.6842000000000001,93.33333333333333
813,56,1.772175,1.6151499999999999,93.33333333333333
814,39,4.347110256410256,3.1151,65
815,56,1.6472392857142857,1.5737999999999999,93.33333333333333
816,54,1.7890296296296297,1.6745999999999999,90
817,52,3.449046153846154,2.4254499999999997,86.66666666666667
818,54,2.2809,1.7077499999999999,90
819,56,2.1305107142857143,1.8697,93.33333333333333
820,54,1.5943833333333333,1.53235,90
823,54,1.7822462962962964,1.6233499999999998,90
824,47,3.676044680851064,2.1136,78.33333333333333
825,53,2.2656830188679247,2.0352,88.33333333333333
827,54,2.828622222222222,2.3994999999999997,90
828,54,1.8747944444444444,1.6408,90
829,49,2.7475306122448977,1.885,81.66666666666667
830,53,2.7058962264150943,1.4641,88.33333333333333
831,55,1.7124854545454544,1.4985,91.66666666666666
832,54,2.241322222222222,1.60835,90
833,53,2.980011320754717,2.0852,88.33333333333333
839,56,1.9578392857142857,1.4583,93.33333333333333
840,49,4.998914285714286,3.0632,81.66666666666667
841,56,2.949605357142857,2.09485,93.33333333333333
843,56,3.0810625,2.4326,93.33333333333333
844,55,1.7249618181818183,1.5175,91.66666666666666
846,52,4.916717307692307,4.2595,86.66666666666667
848,51,2.2640333333333333,1.598,85
849,53,5.299935849056604,3.6318,88.33333333333333
850,55,2.208210909090909,1.5815,91.66666666666666
852,50,6.383234,3.7407000000000004,83.33333333333334
854,56,1.6290035714285713,1.4748000000000001,93.33333333333333
855,48,5.193939583333333,3.6364,80
856,53,2.6620641509433964,2.2334,88.33333333333333
857,55,4.055692727272727,2.9308,91.66666666666666
859,55,3.2845036363636364,2.2776,91.66666666666666
860,54,1.8075092592592592,1.5986500000000001,90
863,53,3.2802433962264153,1.9988,88.33333333333333
865,40,4.6172325,3.48595,66.66666666666666
866,54,2.7796148148148148,1.9842,90
867,56,2.17275,1.68035,93.33333333333333
868,56,1.9222892857142857,1.45435,93.33333333333333
869,55,3.2525690909090907,2.4004,91.66666666666666
871,49,7.310451020408164,3.0699,81.66666666666667
872,55,1.9915963636363636,1.7166,91.66666666666666
875,54,3.3390074074074074,2.1494999999999997,90
876,53,2.6737169811320753,1.7656,88.33333333333333
877,47,3.5243617021276594,3.1081,78.33333333333333
880,56,1.6427142857142858,1.4580000000000002,93.33333333333333
881,52,5.280115384615384,2.6807,86.66666666666667
882,53,2.1741018867924526,1.8669,88.33333333333333
885,51,2.634486274509804,1.6015,85
887,53,4.415394339622641,4.3152,88.33333333333333
888,54,2.053548148148148,1.9077,90
889,56,1.7792017857142857,1.5589,93.33333333333333
892,55,1.7256181818181817,1.6814,91.66666666666666
895,52,3.2950346153846155,2.15145,86.66666666666667
896,56,1.9843410714285714,1.91665,93.33333333333333
897,55,1.6354436363636364,1.5304,91.66666666666666
901,56,2.961564017857143,2.26845,93.33333333333333
902,51,3.1952764705882353,2.6993,85
908,54,1.8802978703703703,1.781525,90
914,51,2.837586862745098,2.23689,85
916,50,6.0406602,4.08994,83.33333333333334
917,56,2.3735886607142858,2.1409124999999998,93.33333333333333
918,52,4.92605375,3.5748075,86.66666666666667
919,50,3.5287056999999997,2.05804,83.33333333333334
920,56,2.4042651785714284,2.0546075000000004,93.33333333333333
922,53,1.6215021698113208,1.49756,88.33333333333333
925,51,2.561154411764706,2.18214,85
927,53,3.172008396226415,2.416245,88.33333333333333
928,56,1.551690892857143,1.4496125,93.33333333333333
929,52,2.049245,1.704875,86.66666666666667
930,56,3.067030357142857,2.39285,93.33333333333333
931,56,2.9352892857142856,2.86945,93.33333333333333
932,55,2.112861909090909,1.89901,91.66666666666666
936,49,1.818439387755102,1.64927,81.66666666666667
938,56,2.2034,1.91397,93.33333333333333
940,56,4.368671607142857,2.9415899999999997,93.33333333333333
941,55,1.8668936363636364,1.632845,91.66666666666666
942,54,1.368405925925926,1.2911725,90
943,55,1.6062907272727271,1.50084,91.66666666666666
945,55,4.073763272727273,1.94979,91.66666666666666
947,54,4.271540740740741,3.3468999999999998,90
948,52,2.7600256730769233,2.16743,86.66666666666667
949,50,2.6468258000000002,1.9279950000000001,83.33333333333334
950,54,2.296759537037037,1.7556125,90
951,47,2.8340513829787235,2.44679,78.33333333333333
952,55,1.9070371818181817,1.633245,91.66666666666666
953,53,1.6038754716981132,1.483165,88.33333333333333
954,51,3.1796156862745097,2.2491,85
956,55,3.3233101818181816,2.18868,91.66666666666666
957,56,1.8253808035714285,1.6121625,93.33333333333333
959,55,2.722427818181818,2.0828700000000002,91.66666666666666
960,55,2.2737176363636364,1.949985,91.66666666666666
961,55,1.4224973636363636,1.3173,91.66666666666666
963,56,2.8733477678571426,2.2542549999999997,93.33333333333333
964,56,1.6722821428571428,1.44135,93.33333333333333
965,54,1.74081,1.6406575,90
968,55,2.5510995454545453,2.17452,91.66666666666666
969,52,2.4598065384615384,2.0924725,86.66666666666667
971,51,5.03598431372549,3.06533,85
974,55,1.7806906363636363,1.697575,91.66666666666666
976,55,1.996931818181818,1.84962,91.66666666666666
977,55,2.67161,2.04989,91.66666666666666
979,56,1.5251269642857144,1.4634475,93.33333333333333
980,54,1.2772228703703703,1.216605,90
982,54,1.6146248148148148,1.54177,90
983,51,3.3676248039215686,2.60634,85
984,55,1.6385215454545454,1.450115,91.66666666666666
986,56,3.653463482142857,2.431655,93.33333333333333
987,56,1.7520535714285714,1.7045,93.33333333333333
988,49,3.294159591836735,2.61587,81.66666666666667
