digitSpan,digits_audio,EgnerDSrt,EgnerDSscore,participant,group
2,46,1.532345,1,1000,ABC
NA,157,1.26578,1,1000,ABC
4,6352,1.5329,1,1000,ABC
5,59281,2.281245,1,1000,ABC
6,396172,2.515175,1,1000,ABC
7,8241973,2.831525,1,1000,ABC
8,53827164,5.963715,0,1000,ABC
8,75241739,4.947025,0,1000,ABC
2,46,1.1993,1,651,ACB
3,157,3.0327,1,651,ACB
4,6352,3.1324,1,651,ACB
5,59281,4.249,1,651,ACB
6,396172,1.9154,1,651,ACB
7,8241973,6.8153,0,651,ACB
7,2814367,5.7987,0,651,ACB
2,46,0.9149,1,652,ACB
3,157,0.916,1,652,ACB
4,6352,2.1989,1,652,ACB
5,59281,5.8982,1,652,ACB
6,396172,4.8649,1,652,ACB
7,8241973,4.498,0,652,ACB
7,2814367,5.5642,0,652,ACB
2,46,0.8823,1,653,CBA
3,157,1.0994,1,653,CBA
4,6352,1.4383,1,653,CBA
5,59281,4.6159,0,653,CBA
5,64738,5.2492,0,653,CBA
2,46,1.5251,1,656,BCA
3,157,1.8471,1,656,BCA
4,6352,1.8785,1,656,BCA
5,59281,2.351,1,656,BCA
6,396172,2.2125,0,656,BCA
6,594631,3.381,1,656,BCA
7,8241973,6.4304,1,656,BCA
8,53827164,6.9216,1,656,BCA
9,682594316,10.0358,1,656,BCA
2,46,1.6651,1,657,ACB
3,157,1.8993,1,657,ACB
4,6352,2.5662,1,657,ACB
5,59281,4.5154,1,657,ACB
6,396172,8.8976,0,657,ACB
6,594631,9.2808,0,657,ACB
2,46,1.5126,1,658,CAB
3,157,0.8666,1,658,CAB
4,6352,3.4993,1,658,CAB
5,59281,3.5651,1,658,CAB
6,396172,7.4809,0,658,CAB
6,594631,4.4466,1,658,CAB
7,8241973,8.998,0,658,CAB
7,2814367,3.6647,0,658,CAB
2,46,14.9987,1,659,ACB
3,157,3.9545,1,659,ACB
4,6352,4.6219,1,659,ACB
5,59281,5.9884,1,659,ACB
6,396172,7.4228,1,659,ACB
7,8241973,9.4261,1,659,ACB
8,53827164,9.1267,0,659,ACB
8,75241739,7.5065,1,659,ACB
9,682594316,18.9369,1,659,ACB
2,46,1.2485,1,660,CAB
3,157,1.0328,1,660,CAB
4,6352,2.0167,1,660,CAB
5,59281,6.4646,1,660,CAB
6,396172,2.916,0,660,CAB
6,594631,9.2973,0,660,CAB
2,46,1.2501,1,667,BAC
3,157,3.3481,1,667,BAC
4,6352,1.9649,1,667,BAC
5,59281,3.2864,1,667,BAC
6,396172,4.4638,1,667,BAC
7,8241973,7.0605,0,667,BAC
7,2814367,6.6447,0,667,BAC
2,46,1.514,1,668,BCA
3,157,2.1307,1,668,BCA
4,6352,1.9309,1,668,BCA
5,59281,4.3941,1,668,BCA
6,396172,8.6734000000000009,1,668,BCA
7,8241973,7.6407,0,668,BCA
7,2814367,4.7109,1,668,BCA
8,53827164,4.9603,0,668,BCA
8,75241739,7.3417,0,668,BCA
2,46,1.0718,1,672,ACB
3,157,1.1905,1,672,ACB
4,6352,1.6357,1,672,ACB
5,59281,4.7528,1,672,ACB
6,396172,2.6547,1,672,ACB
7,8241973,3.9665,1,672,ACB
8,53827164,3.6487,1,672,ACB
9,682594316,9.1299,0,672,ACB
9,142963758,6.1227,0,672,ACB
2,46,1.8319,1,674,BCA
3,157,1.9493,1,674,BCA
4,6352,3.6819,1,674,BCA
5,59281,3.8681,1,674,BCA
6,396172,5.3021,1,674,BCA
7,8241973,7.516,1,674,BCA
8,53827164,6.6997,1,674,BCA
9,682594316,10.4322,1,674,BCA
2,46,1.6973,1,675,ACB
3,157,1.529,1,675,ACB
4,6352,3.614,1,675,ACB
5,59281,3.4446,1,675,ACB
6,396172,5.7605,0,675,ACB
6,594631,7.0953,1,675,ACB
7,8241973,9.4557,1,675,ACB
8,53827164,8.7932,0,675,ACB
8,75241739,11.7542,1,675,ACB
9,682594316,9.5913,0,675,ACB
9,142963758,6.6791,0,675,ACB
2,46,1.2619,1,676,CBA
3,157,1.9807,1,676,CBA
4,6352,2.2644,1,676,CBA
5,59281,5.7967,0,676,CBA
5,64738,3.6982,0,676,CBA
2,46,1.6483,1,677,ACB
3,157,2.6487,1,677,ACB
4,6352,2.3321,1,677,ACB
5,59281,3.6977,1,677,ACB
6,396172,7.7794,1,677,ACB
7,8241973,6.3797,1,677,ACB
8,53827164,9.612,0,677,ACB
8,75241739,6.4138,1,677,ACB
9,682594316,18.5254,0,677,ACB
9,142963758,12.5279,0,677,ACB
2,46,0.999,1,680,BCA
3,157,1.283,1,680,BCA
4,6352,1.918,1,680,BCA
5,59281,2.668,1,680,BCA
6,396172,6.148,1,680,BCA
7,8241973,5.748,1,680,BCA
8,53827164,7.9,0,680,BCA
8,75241739,4.468,0,680,BCA
2,46,1.764,1,681,ACB
3,157,1.6982,1,681,ACB
4,6352,2.2627,1,681,ACB
5,59281,3.2974,1,681,ACB
6,396172,3.0629,0,681,ACB
6,594631,3.6958,1,681,ACB
7,8241973,4.7618,1,681,ACB
8,53827164,8.7746,0,681,ACB
8,75241739,4.8286,0,681,ACB
2,46,1.7645,1,682,ACB
3,157,1.2994,1,682,ACB
4,6352,1.9151,1,682,ACB
5,59281,2.8475,1,682,ACB
6,396172,5.015,0,682,ACB
6,594631,4.4631,1,682,ACB
7,8241973,5.0981,1,682,ACB
8,53827164,18.2599,0,682,ACB
8,75241739,8.5132,1,682,ACB
9,682594316,9.3626,0,682,ACB
9,142963758,5.664,1,682,ACB
2,46,2.3147,1,683,CBA
3,157,1.4491,1,683,CBA
4,6352,1.9823,1,683,CBA
5,59281,6.7135,1,683,CBA
