digitSpanWAIS,WAISDSrt,WAISDSresponse,WAISDSscore,participant,group
2,1.89891,97,1,1000,ABC
3,1.432455,582,1,1000,ABC
4,2.214915,7286,1,1000,ABC
5,2.165515,42731,1,1000,ABC
6,3.11447,392487,1,1000,ABC
7,3.831385,6917428,1,1000,ABC
8,3.39782,3829714,0,1000,ABC
8,3.88087,58142387,0,1000,ABC
2,3.0644,97,1,500,CAB
3,4.2029,582,1,500,CAB
4,2.3027,7286,1,500,CAB
5,2.9014,42731,1,500,CAB
6,3.6854,39287,0,500,CAB
6,7.0737,694173,0,500,CAB
2,1.1819,97,1,651,ACB
3,2.1995,582,1,651,ACB
4,1.5657,7286,1,651,ACB
5,6.0984,42731,1,651,ACB
6,4.9489,392487,1,651,ACB
7,5.4976,691478,0,651,ACB
7,4.0458,487946,0,651,ACB
2,1.3632,97,1,652,ACB
3,1.1499,582,1,652,ACB
4,7.249,7826,0,652,ACB
4,2.7166,6439,1,652,ACB
5,5.6477,42731,1,652,ACB
6,3.55,392847,0,652,ACB
6,6.1891,6194873,0,652,ACB
2,2.7821,97,1,653,CBA
3,1.1161,582,1,653,CBA
4,8.0312,7826,0,653,CBA
4,4.8986,68349,0,653,CBA
2,2.9098,97,1,656,BCA
3,2.0081,582,1,656,BCA
4,3.6853,7286,1,656,BCA
5,4.0194,42731,1,656,BCA
6,7.752,392487,1,656,BCA
7,8.4933,6917428,1,656,BCA
8,15.423,38296174,1,656,BCA
9,10.7559,275863194,1,656,BCA
2,2.4475,97,1,657,ACB
3,1.1331,582,1,657,ACB
4,8.9983,7286,1,657,ACB
5,6.9483,4831,0,657,ACB
5,6.315,7838,0,657,ACB
2,1.3638,97,1,658,CAB
3,1.1999,582,1,658,CAB
4,4.1824,7286,1,658,CAB
5,4.7484,42731,1,658,CAB
6,7.1489,394287,0,658,CAB
6,5.9993,689173,0,658,CAB
2,7.1913,97,1,659,ACB
3,3.6717,582,1,659,ACB
4,4.488,7286,1,659,ACB
5,5.7241,42731,1,659,ACB
6,7.524,392487,1,659,ACB
7,8.8766,6917428,1,659,ACB
8,11.9627,38296174,1,659,ACB
9,11.0797,275863194,1,659,ACB
2,2.1827,97,1,660,CAB
3,3.0989,582,1,660,CAB
4,3.9661,78286,0,660,CAB
4,2.0168,6439,1,660,CAB
5,2.0498,42731,1,660,CAB
6,3.7323,392487,1,660,CAB
7,5.2481,6917482,0,660,CAB
7,5.8488,4897648,0,660,CAB
2,3.429,97,1,667,BAC
3,2.8448,582,1,667,BAC
4,4.0492,7286,1,667,BAC
5,4.7968,42371,0,667,BAC
5,4.5956,75836,1,667,BAC
6,6.6777,392487,1,667,BAC
7,8.1592,6497128,0,667,BAC
7,9.0424,41397628,0,667,BAC
2,2.6453,97,1,668,BCA
3,2.447,582,1,668,BCA
4,4.6614,7286,1,668,BCA
5,2.6966,42731,1,668,BCA
6,3.1125,392487,1,668,BCA
7,5.7273,6917428,1,668,BCA
8,6.0598,38296174,1,668,BCA
9,5.2425,2758614,0,668,BCA
9,3.8785,713948,0,668,BCA
2,1.7166,97,1,672,ACB
3,1.0476,582,1,672,ACB
4,1.4969,7286,1,672,ACB
5,2.5577,42731,1,672,ACB
6,3.391,392487,1,672,ACB
7,5.0853,6912748,0,672,ACB
7,3.677,4197386,0,672,ACB
2,3.0465,97,1,674,BCA
3,3.3834,582,1,674,BCA
4,4.1983,7286,1,674,BCA
5,7.0488,42731,1,674,BCA
6,7.1165,392487,1,674,BCA
7,7.4665,6917428,1,674,BCA
8,8.6154,38296174,1,674,BCA
9,9.1824,275863194,1,674,BCA
2,3.6276,97,1,675,ACB
3,2.1135,582,1,675,ACB
4,6.1629,7286,1,675,ACB
5,3.6598,42731,1,675,ACB
6,4.8807,392487,1,675,ACB
7,8.7248,692782,0,675,ACB
7,9.5556,427938,0,675,ACB
2,1.3797,97,1,676,CBA
3,1.3646,582,1,676,CBA
4,2.781,7286,1,676,CBA
5,8.9474,42781,0,676,CBA
5,3.0154,75836,1,676,CBA
6,4.3819,39287,0,676,CBA
6,4.9483,619847,0,676,CBA
2,3.1976,97,1,677,ACB
3,1.8153,582,1,677,ACB
4,2.3318,7286,1,677,ACB
5,3.1651,42731,1,677,ACB
6,6.5137,392487,1,677,ACB
7,9.879,6917428,1,677,ACB
8,8.9455,38296174,1,677,ACB
9,17.559,63473794,0,677,ACB
9,9.879,713942568,1,677,ACB
2,1.717,97,1,680,BCA
3,2.334,582,1,680,BCA
4,3.251,7286,1,680,BCA
5,2.334,42731,1,680,BCA
6,7.15,394287,0,680,BCA
6,3.366,619473,1,680,BCA
7,4.217,6197428,0,680,BCA
7,4.367,4179386,1,680,BCA
8,6.617,318972641,0,680,BCA
8,4.467,5813467,0,680,BCA
2,3.6941,97,1,681,ACB
3,1.8479,582,1,681,ACB
4,2.9467,7286,1,681,ACB
5,3.6128,42731,1,681,ACB
6,4.8783,392487,1,681,ACB
7,6.9263,6917428,1,681,ACB
8,7.0097,38296714,0,681,ACB
8,7.1769,5813472,0,681,ACB
2,2.0819,97,1,682,ACB
3,1.5659,582,1,682,ACB
4,2.3833,7286,1,682,ACB
5,2.4817,42731,1,682,ACB
6,4.3483,392487,1,682,ACB
7,5.7476,6917428,1,682,ACB
8,7.5805,38296174,1,682,ACB
9,6.7475,275863194,1,682,ACB
2,1.9814,97,1,683,CBA
3,1.849,582,1,683,CBA
4,2.6487,7286,1,683,CBA
5,2.482,42731,1,683,CBA
6,2.3822,392487,1,683,CBA
7,5.5474,6917428,1,683,CBA
8,8.1624,38296174,1,683,CBA
9,6.6469,276853794,0,683,CBA
9,4.348,7139428,0,683,CBA
2,2.353,97,1,684,CAB
3,1.5043,582,1,684,CAB
4,3.0031,7286,1,684,CAB
5,2.8555,42731,1,684,CAB
6,4.1231,392487,1,684,CAB
7,14.7033,6917428,1,684,CAB
8,10.4666,3862174,0,684,CAB
8,20.4579,5832647,0,684,CAB
2,0.732,NA,0,685,BAC
2,1.3496,NA,0,685,BAC
2,3.5004,97,1,686,BCA
3,1.1155,582,1,686,BCA
4,1.3002,7286,1,686,BCA
5,2.9162,42731,1,686,BCA
6,2.7997,392487,1,686,BCA
7,3.4176,6917428,1,686,BCA
8,10.9158,68293714,0,686,BCA
8,4.5174,53162842,0,686,BCA
2,1.981,97,1,687,ACB
3,1.2822,582,1,687,ACB
4,1.6655,7286,1,687,ACB
5,1.349,42731,1,687,ACB
6,3.448,392487,1,687,ACB
7,4.0147,6917248,0,687,ACB
7,3.7977,4179386,1,687,ACB
8,3.6982,38296174,1,687,ACB
9,6.6628,275869134,0,687,ACB
9,7.9458,7129384568,0,687,ACB
2,3.0458,97,1,689,CBA
3,1.4492,582,1,689,CBA
4,4.4139,7286,1,689,CBA
5,2.6314,42731,1,689,CBA
6,3.8649,392487,1,689,CBA
7,5.8638,6917428,1,689,CBA
8,6.8136,38296174,1,689,CBA
9,12.3938,27583914,0,689,CBA
9,7.5967,713942568,1,689,CBA
2,3.8968,97,1,690,CAB
3,1.6494,582,1,690,CAB
4,2.7321,7286,1,690,CAB
5,3.5151,42731,1,690,CAB
6,3.916,392487,1,690,CAB
7,7.498,6917428,1,690,CAB
8,8.5821,38296174,1,690,CAB
9,13.6647,245867194,0,690,CAB
9,7.4017,713942568,1,690,CAB
2,3.404,97,1,692,BCA
3,2.0193,582,1,692,BCA
4,2.6539,7286,1,692,BCA
5,4.8741,42731,1,692,BCA
6,8.1119,392487,1,692,BCA
7,6.2094,6947128,0,692,BCA
7,7.9794,4179386,1,692,BCA
8,8.613,38297364,0,692,BCA
8,15.2897,NA,0,692,BCA
2,1.9815,97,1,694,ACB
3,1.6031,582,1,694,ACB
4,2.466,7286,1,694,ACB
5,5.9981,427381,0,694,ACB
5,4.2483,75836,1,694,ACB
6,3.8471,392487,1,694,ACB
7,9.8982,69917428,0,694,ACB
7,2.2988,2,0,694,ACB
2,2.9306,97,1,695,ACB
3,2.0538,582,1,695,ACB
4,1.8933,7286,1,695,ACB
5,3.9144,42731,1,695,ACB
6,5.4408,394287,0,695,ACB
6,5.8483,619473,1,695,ACB
7,4.989,6914728,0,695,ACB
7,6.2951,4189736,0,695,ACB
2,3.1638,97,1,696,CAB
3,1.7486,582,1,696,CAB
4,3.082,7286,1,696,CAB
5,2.5989,42731,1,696,CAB
6,4.215,392487,1,696,CAB
7,5.3305,6917428,1,696,CAB
8,10.2457,38296719,0,696,CAB
8,5.2976,5813467,0,696,CAB
2,2.2485,97,1,697,BAC
3,2.5661,582,1,697,BAC
4,3.0002,7286,1,697,BAC
5,5.2661,42731,1,697,BAC
6,4.6826,394287,0,697,BAC
6,6.5167,619473,1,697,BAC
7,6.267,6917348,0,697,BAC
7,6.3997,4193786,0,697,BAC
2,3.2473,97,1,698,ACB
3,1.6156,582,1,698,ACB
4,5.6656,726,0,698,ACB
4,2.8334,6439,1,698,ACB
5,9.632,42731,1,698,ACB
6,4.8491,392487,1,698,ACB
7,9.0488,691372,0,698,ACB
7,9.6819,4187368,0,698,ACB
2,3.899,97,1,700,ABC
3,1.8408,582,1,700,ABC
4,3.1971,7286,1,700,ABC
5,3.2945,42731,1,700,ABC
6,2.995,392487,1,700,ABC
7,16.8487,692178,0,700,ABC
7,20.4669,7491386,0,700,ABC
2,5.5303,97,1,702,CAB
3,3.7487,582,1,702,CAB
4,2.2319,7286,1,702,CAB
5,3.4132,42731,1,702,CAB
6,5.3185,392487,1,702,CAB
7,5.4318,6917428,1,702,CAB
8,6.7643,38296174,1,702,CAB
9,11.6809,2758134,0,702,CAB
9,7.4152,713942568,1,702,CAB
2,2.8328,97,1,704,BCA
3,1.4841,582,1,704,BCA
4,1.7838,7286,1,704,BCA
5,3.5516,42731,1,704,BCA
6,4.4183,392487,1,704,BCA
7,6.6013,6917428,1,704,BCA
8,5.9846,3829764,0,704,BCA
8,11.4865,58132647,1,704,BCA
9,9.3547,275813694,0,704,BCA
9,10.6872,713942568,1,704,BCA
2,2.7984,97,1,705,ACB
3,1.8659,582,1,705,ACB
4,3.5824,7286,1,705,ACB
5,4.4825,42731,1,705,ACB
6,4.6491,392487,1,705,ACB
7,6.7154,6917428,1,705,ACB
8,6.5656,38296174,1,705,ACB
9,8.2486,275863194,1,705,ACB
2,6.3797,97,1,706,CAB
3,4.0148,582,1,706,CAB
4,2.832,7286,1,706,CAB
