typedNumber,typingRT,answerCorr,participant,group
6,1.88192,1,1000,ABC
32,1.86578,1,1000,ABC
30,1.715895,1,1000,ABC
15,1.41564,1,1000,ABC
16,1.31601,1,1000,ABC
18,1.432735,1,1000,ABC
20,1.49897,1,1000,ABC
8,1.39902,1,1000,ABC
54,1.70775,1,1000,ABC
10,1.44916,1,1000,ABC
48,2.065525,1,1000,ABC
36,1.799185,1,1000,ABC
40,1.54887,1,1000,ABC
42,1.38224,1,1000,ABC
27,1.21559,1,1000,ABC
56,1.33238,1,1000,ABC
28,1.366165,1,1000,ABC
45,1.065415,1,1000,ABC
24,1.28227,1,1000,ABC
12,1.016015,1,1000,ABC
35,1.23232,1,1000,ABC
72,1.815405,1,1000,ABC
21,1.16591,1,1000,ABC
63,1.51527,1,1000,ABC
14,1.14912,1,1000,ABC
30,1.7682,1,500,CAB
64,1.8862,1,500,CAB
40,1.3846,1,500,CAB
14,1.5022,1,500,CAB
12,0.9162,1,500,CAB
16,1.0655,1,500,CAB
20,1.1331,1,500,CAB
24,4.7553,1,500,CAB
36,1.3163,1,500,CAB
49,3.1527,1,500,CAB
54,1.2348,1,500,CAB
42,1.2346,1,500,CAB
9,0.9675,1,500,CAB
28,1.2848,1,500,CAB
18,1.0166,1,500,CAB
15,1.0153,1,500,CAB
45,1.0516,1,500,CAB
32,1.0685,1,500,CAB
48,1.4178,1,500,CAB
35,1.3507,1,500,CAB
8,1.0689,1,500,CAB
72,1.7345,1,500,CAB
21,0.8668,1,500,CAB
56,1.7022,1,500,CAB
6,0.8826,1,500,CAB
27,1.7352,1,500,CAB
10,1.1675,1,500,CAB
63,2.0024,1,500,CAB
42,1.3503,1,651,ACB
8,0.9494,1,651,ACB
54,1.0996,1,651,ACB
9,0.8164,1,651,ACB
63,1.9492,1,651,ACB
14,1.0165,1,651,ACB
49,1.7833,1,651,ACB
35,1.4974,1,651,ACB
15,1.0664,1,651,ACB
28,2.1827,1,651,ACB
3,0.9998,0,651,ACB
64,1.5329,1,651,ACB
6,1.0162,1,651,ACB
56,1.6657,1,651,ACB
12,0.7991,1,651,ACB
20,1.0162,1,651,ACB
72,1.2994,1,651,ACB
24,1.0824,1,651,ACB
16,1.6332,1,651,ACB
10,0.8667,1,651,ACB
48,1.2169,1,651,ACB
40,1.7827,1,651,ACB
36,1.5995,1,651,ACB
18,1.0323,1,651,ACB
30,1.1668,1,651,ACB
45,1.2661,1,651,ACB
27,1.533,1,651,ACB
21,0.8499,1,651,ACB
30,1.2491,1,652,ACB
15,1.2993,1,652,ACB
27,1.9493,1,652,ACB
8,1.1659,1,652,ACB
45,1.6158,1,652,ACB
42,1.2994,1,652,ACB
72,1.4826,1,652,ACB
54,1.316,1,652,ACB
20,1.2662,1,652,ACB
63,1.3495,1,652,ACB
40,1.35,1,652,ACB
