rows,cols,vptCorrect,noOfBlocks,participant,group
2,2,TRUE,2,1000,ABC
2,2,TRUE,2,1000,ABC
2,2,TRUE,2,1000,ABC
3,3,TRUE,3,1000,ABC
3,3,TRUE,3,1000,ABC
3,3,TRUE,3,1000,ABC
3,3,TRUE,4,1000,ABC
3,3,TRUE,4,1000,ABC
3,3,TRUE,4,1000,ABC
4,4,TRUE,5,1000,ABC
4,4,TRUE,5,1000,ABC
4,4,TRUE,5,1000,ABC
4,4,TRUE,6,1000,ABC
4,4,TRUE,6,1000,ABC
4,4,TRUE,6,1000,ABC
4,4,TRUE,7,1000,ABC
4,4,TRUE,7,1000,ABC
4,4,TRUE,7,1000,ABC
4,4,TRUE,8,1000,ABC
4,4,TRUE,8,1000,ABC
4,4,FALSE,8,1000,ABC
5,5,FALSE,9,1000,ABC
5,5,TRUE,9,1000,ABC
5,5,TRUE,9,1000,ABC
5,5,FALSE,10,1000,ABC
5,5,FALSE,10,1000,ABC
2,2,TRUE,2,500,CAB
2,2,TRUE,2,500,CAB
2,2,TRUE,2,500,CAB
3,3,TRUE,3,500,CAB
3,3,TRUE,3,500,CAB
3,3,TRUE,3,500,CAB
3,3,TRUE,4,500,CAB
3,3,TRUE,4,500,CAB
3,3,TRUE,4,500,CAB
4,4,FALSE,5,500,CAB
4,4,TRUE,5,500,CAB
4,4,TRUE,5,500,CAB
4,4,FALSE,6,500,CAB
4,4,TRUE,6,500,CAB
4,4,TRUE,6,500,CAB
4,4,TRUE,7,500,CAB
4,4,TRUE,7,500,CAB
4,4,FALSE,7,500,CAB
4,4,TRUE,8,500,CAB
4,4,FALSE,8,500,CAB
4,4,FALSE,8,500,CAB
2,2,TRUE,2,651,ACB
2,2,FALSE,2,651,ACB
2,2,TRUE,2,651,ACB
3,3,TRUE,3,651,ACB
3,3,TRUE,3,651,ACB
3,3,TRUE,3,651,ACB
3,3,TRUE,4,651,ACB
3,3,TRUE,4,651,ACB
3,3,TRUE,4,651,ACB
4,4,TRUE,5,651,ACB
4,4,TRUE,5,651,ACB
4,4,TRUE,5,651,ACB
4,4,TRUE,6,651,ACB
4,4,TRUE,6,651,ACB
4,4,TRUE,6,651,ACB
4,4,TRUE,7,651,ACB
4,4,TRUE,7,651,ACB
4,4,TRUE,7,651,ACB
4,4,TRUE,8,651,ACB
4,4,TRUE,8,651,ACB
4,4,TRUE,8,651,ACB
5,5,TRUE,9,651,ACB
5,5,TRUE,9,651,ACB
5,5,TRUE,9,651,ACB
5,5,TRUE,10,651,ACB
5,5,TRUE,10,651,ACB
5,5,FALSE,10,651,ACB
5,5,TRUE,11,651,ACB
5,5,FALSE,11,651,ACB
5,5,FALSE,11,651,ACB
2,2,TRUE,2,652,ACB
2,2,TRUE,2,652,ACB
2,2,TRUE,2,652,ACB
3,3,TRUE,3,652,ACB
3,3,TRUE,3,652,ACB
3,3,TRUE,3,652,ACB
3,3,TRUE,4,652,ACB
3,3,TRUE,4,652,ACB
3,3,TRUE,4,652,ACB
4,4,TRUE,5,652,ACB
4,4,TRUE,5,652,ACB
4,4,TRUE,5,652,ACB
4,4,TRUE,6,652,ACB
4,4,TRUE,6,652,ACB
4,4,TRUE,6,652,ACB
4,4,TRUE,7,652,ACB
4,4,FALSE,7,652,ACB
4,4,TRUE,7,652,ACB
4,4,TRUE,8,652,ACB
4,4,TRUE,8,652,ACB
4,4,TRUE,8,652,ACB
5,5,TRUE,9,652,ACB
5,5,TRUE,9,652,ACB
5,5,TRUE,9,652,ACB
5,5,TRUE,10,652,ACB
5,5,TRUE,10,652,ACB
5,5,FALSE,10,652,ACB
5,5,FALSE,11,652,ACB
5,5,TRUE,11,652,ACB
5,5,FALSE,11,652,ACB
2,2,TRUE,2,653,CBA
2,2,TRUE,2,653,CBA
2,2,TRUE,2,653,CBA
3,3,TRUE,3,653,CBA
3,3,TRUE,3,653,CBA
3,3,TRUE,3,653,CBA
