problem,interference_score
2 x 3 =,0
2 x 4 =,1
2 x 5 =,0
2 x 6 =,3
2 x 7 =,4
2 x 8 =,7
2 x 9 =,7
3 x 2 =,0
3 x 3 =,0
3 x 4 =,10
3 x 5 =,2
3 x 6 =,8
3 x 7 =,13
3 x 8 =,13
3 x 9 =,9
4 x 2 =,1
4 x 3 =,10
4 x 4 =,5
4 x 5 =,8
4 x 6 =,12
4 x 7 =,17
4 x 8 =,25
4 x 9 =,9
5 x 2 =,0
5 x 3 =,2
5 x 4 =,8
5 x 6 =,6
5 x 7 =,7
5 x 8 =,9
5 x 9 =,6
6 x 2 =,3
6 x 3 =,8
6 x 4 =,12
6 x 5 =,6
6 x 7 =,22
6 x 8 =,11
6 x 9 =,13
7 x 2 =,4
7 x 3 =,13
7 x 4 =,17
7 x 5 =,7
7 x 6 =,22
7 x 7 =,7
7 x 8 =,9
7 x 9 =,17
8 x 2 =,7
8 x 3 =,13
8 x 4 =,25
8 x 5 =,9
8 x 6 =,11
8 x 7 =,9
8 x 8 =,19
8 x 9 =,19
9 x 2 =,7
9 x 3 =,9
9 x 4 =,9
9 x 5 =,6
9 x 6 =,13
9 x 7 =,17
9 x 8 =,19
